Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number,has_email,has_phone
grace,25,50000,Male,HR,Manager,2018-04-05,D,email@example.com,,True,False
david,35,65000,Female,Finance,Director,2020-02-20,F,user@domain.com,123-456-7890,True,True
hannah,35,60000,Female,Sales,Director,2020-01-15,C,email@example.com,098-765-4321,True,True
eve,35,50000,Female,IT,Manager,2018-04-05,A,name@company.org,,True,False
grace,35,60000,Female,Finance,Manager,2020-01-15,F,name@company.org,098-765-4321,True,True
jack,35,65000,Other,Marketing,Director,2019-03-25,F,user@domain.com,,True,False
charlie,35,50000,Male,Marketing,Clerk,2019-12-01,B,,123-456-7890,False,True
grace,40,50000,Other,HR,Director,2019-03-25,C,,,False,False
hannah,40,60000,Female,Marketing,Manager,2020-01-15,C,user@domain.com,123-456-7890,True,True
eve,30,60000,Other,Finance,Assistant,2020-02-20,A,,,False,False
david,25,70000,Male,Marketing,Analyst,2019-12-01,B,,123-456-7890,False,True
hannah,35,70000,Other,Finance,Assistant,2019-03-25,A,,,False,False
hannah,30,50000,Male,IT,Assistant,2018-04-05,D,,,False,False
charlie,25,55000,Other,HR,Manager,2020-02-20,F,,555-555-5555,False,True
frank,50,60000,Male,Marketing,Director,2019-03-25,A,,123-456-7890,False,True
eve,35,65000,Male,Finance,Clerk,2018-04-05,F,,123-456-7890,False,True
bob,40,55000,Female,Sales,Assistant,2020-01-15,B,,098-765-4321,False,True
hannah,50,55000,Male,HR,Director,2018-04-05,D,user@domain.com,,True,False
frank,25,60000,Female,IT,Clerk,2019-03-25,B,email@example.com,555-555-5555,True,True
bob,50,50000,Female,Finance,Assistant,2019-03-25,D,user@domain.com,,True,False
eve,35,50000,Female,IT,Clerk,2020-01-15,D,email@example.com,098-765-4321,True,True
alice,25,50000,Other,IT,Director,2018-04-05,F,user@domain.com,555-555-5555,True,True
jack,50,50000,Other,Marketing,Analyst,2018-04-05,B,email@example.com,,True,False
